item	locus_ambiguity	postlocus_cue	sentence	sentence_original	prompt_pre	prompt_post	prompt_pre_original	prompt_post_original	occurrence_postlocus_cue	occurrence_locus_ambiguity	disambiguation_type
N-V_1	suit	me	Mary thinks that the pants suit me very well.	Mary thinks that the pants suit me very well.	Mary thinks that the pants suit	Mary thinks that the pants suit me	Mary thinks that the pants suit	Mary thinks that the pants suit me	1	1	agreement
N-V_2	fires	numerous	The local newspaper reported that the warehouse fires numerous employees each year.	The local newspaper reported that the warehouse fires numerous employees each year.	The local newspaper reported that the warehouse fires	The local newspaper reported that the warehouse fires numerous	The local newspaper reported that the warehouse fires	The local newspaper reported that the warehouse fires numerous	1	1	agreement
N-V_3	might	be	In my opinion, the military might be very dangerous in that country.	In my opinion, the military might be very dangerous in that country.	In my opinion, the military might	In my opinion, the military might be	In my opinion, the military might	In my opinion, the military might be	1	1	change_modifier
N-V_4	rings	loudly	We all should have known that some metal rings loudly and for a long time.	We all should have known that some metal rings loudly and for a long time.	We all should have known that some metal rings	We all should have known that some metal rings loudly	We all should have known that some metal rings	We all should have known that some metal rings loudly	1	1	agreement
N-V_5	figures	other	I find it difficult to believe that China figures other countries won't attack a country as large as China.	Personally I find it difficult to believe that China figures other countries won't attack a country as large as China.	I find it difficult to believe that China figures	I find it difficult to believe that China figures other	Personally I find it difficult to believe that China figures	Personally I find it difficult to believe that China figures other	1	1	agreement_change_modifier
N-V_6	bears	no	Susan was extremely surprised that the winter bears no resemblance to the summer back home.	Susan was extremely surprised that the winter bears no resemblance to the summer back home.	Susan was extremely surprised that the winter bears	Susan was extremely surprised that the winter bears no	Susan was extremely surprised that the winter bears	Susan was extremely surprised that the winter bears no	1	1	agreement
N-V_7	checks	the	A lot of people know that the cashier checks the door every evening when the bank closes.	Lots of people know that the cashier checks the door every evening when the bank closes.	A lot of people know that the cashier checks	A lot of people know that the cashier checks the	Lots of people know that the cashier checks	Lots of people know that the cashier checks the 	2	1	agreement
N-V_8	shows	lots	Local people are concerned that the theater shows lots of expensive productions.	Local people are concerned that the theater shows lots of expensive productions.	Local people are concerned that the theater shows	Local people are concerned that the theater shows lots	Local people are concerned that the theater shows	Local people are concerned that the theater shows lots	1	1	agreement
N-V_9	can	smell	Everyone agrees that the trash can smell awful.	Everyone agrees that the trash can smell awful.	Everyone agrees that the trash can	Everyone agrees that the trash can smell	Everyone agrees that the trash can	Everyone agrees that the trash can smell	1	1	agreement_change_determiner
N-V_10	trains	young	I know that the desert trains young people to be especially tough.	I know that the desert trains young people to be especially tough.	I know that the desert trains	I know that the desert trains young	I know that the desert trains	I know that the desert trains young	1	1	agreement
N-V_11	state	the	In many large nations, the poor state the rich deprive them of their rights.	In many large nations, the poor state the rich deprive them of their rights.	In many large nations, the poor state	In many large nations, the poor state the	In many large nations, the poor state	In many large nations, the poor state the	2	1	agreement
N-V_12	cases	the	In an old version of that movie, the detective cases the joint for secret compartments.	In an old version of that movie, the detective cases the joint for secret compartments.	In an old version of that movie, the detective cases	In an old version of that movie, the detective cases the	In an old version of that movie, the detective cases	In an old version of that movie, the detective cases the	2	1	agreement
N-V_13	watch	German	We have been told that the Swiss watch German investments very carefully.	We have been told that the Swiss watch German investments very carefully.	We have been told that the Swiss watch	We have been told that the Swiss watch German	We have been told that the Swiss watch	We have been told that the Swiss watch German	1	1	agreement_change_modifier
N-V_14	felt	very	For some reason, Sally was surprised that the cotton felt very soft to the touch.	For some reason Sally was surprised that the cotton felt very soft to the touch.	For some reason, Sally was surprised that the cotton felt	For some reason, Sally was surprised that the cotton felt very	For some reason, Sally was surprised that the cotton felt	For some reason, Sally was surprised that the cotton felt very	1	1	agreement_change_modifier
N-V_15	flies	by	Tom remarked that the summer flies by too fast.	Tom remarked that the summer flies by too fast.	Tom remarked that the summer flies	Tom remarked that the summer flies by	Tom remarked that the summer flies	Tom remarked that the summer flies by	1	1	agreement
N-V_16	will	make	As I understand it, the official will make sure that no money goes to the philanthropist's son.	As I understand it, the official will make sure that no money goes to the philanthropist's son.	As I understand it, the official will	As I understand it, the official will make	As I understand it, the official will	As I understand it, the official will make	1	1	change_modifier
N-V_2_1	surfaces	when	I don't understand why it is that the wood surfaces when there is a disruption in the large holding tank.	I don't understand why it is that the wood surfaces when there is a disruption in the large holding tank.	I don't understand why it is that the wood surfaces	I don't understand why it is that the wood surfaces when	I don't understand why it is that the wood surfaces	I don't understand why it is that the wood surfaces when	1	1	agreement
N-V_2_2	hopes	that	Despite last year's report, the city hopes that it will survive the latest budget cuts.	Despite last year's report, the city hopes that it will survive the latest budget cuts.	Despite last year's report, the city hopes	Despite last year's report, the city hopes that	Despite last year's report, the city hopes	Despite last year's report, the city hopes that	1	1	agreement
N-V_2_3	promises	it	Every American knows that the government promises it will reduce the budget deficit.	Every American knows that the government promises it will reduce the budget deficit.	Every American knows that the government promises	Every American knows that the government promises it	Every American knows that the government promises	Every American knows that the government promises it	1	1	agreement
N-V_2_4	fines	visitors	Nobody knows if it's true that the university fines visitors who park illegally.	Nobody knows if it's true that the university fines visitors who park illegally.	Nobody knows if it's true that the university fines	Nobody knows if it's true that the university fines visitors	Nobody knows if it's true that the university fines	Nobody knows if it's true that the university fines visitors	1	1	agreement
N-V_2_5	fears	that	Mrs. Baker is convinced that the school fears that the community won't support it.	Mrs. Baker is convinced that the school fears that the community won't support it.	Mrs. Baker is convinced that the school fears	Mrs. Baker is convinced that the school fears that	Mrs. Baker is convinced that the school fears	Mrs. Baker is convinced that the school fears that	2	1	agreement
N-V_2_6	packages	some	We just found out that the post office packages some articles for customers.	We just found out that the post office packages some articles for customers.	We just found out that the post office packages	We just found out that the post office packages some	We just found out that the post office packages	We just found out that the post office packages some	1	1	agreement
N-V_2_7	pardons	very	Some of us weren't aware that the church pardons very few people.	Some of us weren't aware that the church pardons very few people.	Some of us weren't aware that the church pardons	Some of us weren't aware that the church pardons very	Some of us weren't aware that the church pardons	Some of us weren't aware that the church pardons very	1	1	agreement
N-V_2_8	buys	only	Nobody seems to complain about the fact that the department store buys only national brands.	Nobody seems to complain about the fact that the department store buys only national brands.	Nobody seems to complain about the fact that the department store buys	Nobody seems to complain about the fact that the department store buys only	Nobody seems to complain about the fact that the department store buys	Nobody seems to complain about the fact that the department store buys only	1	1	agreement
N-V_2_9	lies	all	It is no secret that the official lies all the time.	It is no secret that the official lies all the time.	It is no secret that the official lies	It is no secret that the official lies all	It is no secret that the official lies	It is no secret that the official lies all	1	1	agreement
N-V_2_10	plants	lots	Mrs. Jones is pleased now that she has discovered that the greenhouse plants lots of orchids.	Mrs. Jones is pleased now that she has discovered that the greenhouse plants lots of orchids.	Mrs. Jones is pleased now that she has discovered that the greenhouse plants	Mrs. Jones is pleased now that she has discovered that the greenhouse plants lots	Mrs. Jones is pleased now that she has discovered that the greenhouse plants	Mrs. Jones is pleased now that she has discovered that the greenhouse plants lots	1	1	agreement
N-V_2_11	wrecks	the	We should have realized that the tractor wrecks the lawn by the barn.	We should have realized that the tractor wrecks the lawn by the barn.	We should have realized that the tractor wrecks	We should have realized that the tractor wrecks the	We should have realized that the tractor wrecks	We should have realized that the tractor wrecks the	2	1	agreement
N-V_2_12	swings	in	We could see immediately that the tree swings in the wind.	We could see immediately that the tree swings in the wind.	We could see immediately that the tree swings	We could see immediately that the tree swings in	We could see immediately that the tree swings	We could see immediately that the tree swings in	1	1	agreement
N-V_2_13	worries	most	The agency reported that the family worries most about its financial situation.	The agency reported that the family worries most about its financial situation.	The agency reported that the family worries	The agency reported that the family worries most	The agency reported that the family worries	The agency reported that the family worries most	1	1	agreement
N-V_2_14	buses	most	Some people think it's ridiculous that the county buses most of the grade school children to another county.	Some people think it's ridiculous that the county buses most of the grade school children to another county.	Some people think it's ridiculous that the county buses	Some people think it's ridiculous that the county buses most	Some people think it's ridiculous that the county buses	Some people think it's ridiculous that the county buses most	1	1	agreement
N-V_2_15	prices	everything	John quickly learned that the hardware store prices everything very high.	John quickly learned that the hardware store prices everything very high.	John quickly learned that the hardware store prices	John quickly learned that the hardware store prices everything	John quickly learned that the hardware store prices	John quickly learned that the hardware store prices everything	1	1	agreement
N-V_2_16	pleas	effectively	According to the news report, the state pleas effectively for federal subsidies.	According to the news report, the state pleas effectively for federal subsidies.	According to the news report, the state pleas	According to the news report, the state pleas effectively	According to the news report, the state pleas	According to the news report, the state pleas effectively	1	1	agreement
